       1  3802913  |        1  3802913  |  3802913  3802913  |   100.00  |  3802913  3802913  |   100.00   100.00  | Acutalibacter_muris	Acutalibacter_muris	[IDENTITY]
   21275    21433  |  3767263  3767106  |      159      158  |    99.37  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
   24670    25299  |  3763536  3762907  |      630      630  |    98.41  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
   24687    25299  |    33039    32427  |      613      613  |    97.72  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
   32426    32513  |    45183    45096  |       88       88  |   100.00  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
   32427    33039  |    25299    24687  |      613      613  |    97.72  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
   33077    33341  |    44481    44217  |      265      265  |    96.98  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
   44217    44481  |    33341    33077  |      265      265  |    96.98  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
   45096    45183  |    32513    32426  |       88       88  |   100.00  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
  192074   193177  |  3173293  3172190  |     1104     1104  |   100.00  |  3802913  3802913  |     0.03     0.03  | Acutalibacter_muris	Acutalibacter_muris	
  194482   194795  |  1417663  1417350  |      314      314  |    93.31  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  203494   203758  |  3017156  3016893  |      265      264  |    83.02  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  235386   235920  |  2520864  2520333  |      535      532  |    84.73  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  247410   247611  |  3405431  3405230  |      202      202  |    95.54  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  248472   254957  |  3333983  3327498  |     6486     6486  |    99.72  |  3802913  3802913  |     0.17     0.17  | Acutalibacter_muris	Acutalibacter_muris	
  252547   252971  |   171862   171438  |      425      425  |    85.65  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  253417   253795  |   171433   171063  |      379      371  |    87.14  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  254693   254865  |  2907693  2907521  |      173      173  |    96.53  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
  254693   254861  |  3350322  3350154  |      169      169  |    97.63  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
  254693   254823  |  2742102  2741972  |      131      131  |    96.18  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
  260974   262319  |  2888683  2887339  |     1346     1345  |    86.78  |  3802913  3802913  |     0.04     0.04  | Acutalibacter_muris	Acutalibacter_muris	
  270823   271366  |  2867199  2866648  |      544      552  |    84.50  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  271366   271586  |  2866544  2866326  |      221      219  |    85.07  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  273213   273967  |  2865788  2865038  |      755      751  |    88.79  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
  588844   594292  |  3782724  3777312  |     5449     5413  |    98.83  |  3802913  3802913  |     0.14     0.14  | Acutalibacter_muris	Acutalibacter_muris	
  641796   642321  |  3349297  3348773  |      526      525  |    91.25  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  652502   652635  |  3344793  3344660  |      134      134  |    88.06  |  3802913  3802913  |     0.00     0.00  | Acutalibacter_muris	Acutalibacter_muris	
  657014   657223  |  2195930  2195721  |      210      210  |    90.95  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  703210   703836  |  3703582  3702963  |      627      620  |    83.94  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
  719352   719730  |  1539761  1539383  |      379      379  |    95.78  |  3802913  3802913  |     0.01     0.01  | Acutalibacter_muris	Acutalibacter_muris	
  744375   745231  |  2122729  2121873  |      857      857  |    93.35  |  3802913  3802913  |     0.02     0.02  | Acutalibacter_muris	Acutalibacter_muris	
  745532   746682  |  2120925  2119787  |     1151     1139  |    93.06  |  3802913  3802913  |     0.03     0.03  | Acutalibacter_muris	Acutalibacter_muris	
